sid,cargo,inicio,final
905,senador,2014,2022
905,senador,2006,2011
905,diputado,1994,1998
985,senador,2018,2026
985,senador,2010,2018
985,diputado,2006,2010
985,diputado,2002,2006
985,diputado,1998,2002
985,diputado,1994,1998
1221,senador,2018,2026
1110,senador,2014,2022
1110,diputado,2010,2014
1110,diputado,2006,2010
1110,diputado,2002,2006
907,senador,2014,2022
907,senador,2006,2014
1218,senador,2018,2026
986,senador,2018,2026
986,senador,2010,2018
986,diputado,2006,2010
687,senador,2018,2026
687,senador,2010,2018
687,senador,2002,2010
687,diputado,1998,2002
687,diputado,1994,1998
687,diputado,1990,1994
1115,senador,2014,2022
1115,diputado,2010,2014
1115,diputado,2006,2010
1210,senador,2018,2026
1212,senador,2018,2026
1219,senador,2018,2026
1220,senador,2018,2026
1066,senador,2014,2022
1066,senador,2011,2014
1066,diputado,2010,2011
1066,diputado,2006,2010
1066,diputado,2002,2006
1066,diputado,1998,2002
1066,diputado,1994,1998
690,senador,2018,2026
690,senador,2010,2018
690,senador,2002,2010
690,diputado,1998,2002
690,diputado,1994,1998
690,diputado,1990,1994
909,senador,2014,2022
909,senador,2006,2014
909,diputado,2002,2006
909,diputado,1998,2002
909,diputado,1994,1998
1113,senador,2014,2022
1113,diputado,2010,2014
1113,diputado,2006,2010
1111,senador,2014,2022
1114,senador,2014,2022
1114,diputado,2010,2014
1114,diputado,2009,2010
1222,senador,2018,2026
1222,diputado,1998,2002
1222,diputado,1994,1998
1222,diputado,1990,1994
1211,senador,2018,2026
1223,senador,2018,2026
1223,diputado,2014,2018
987,senador,2018,2026
987,senador,2010,2018
1216,senador,2018,2026
912,senador,2014,2022
912,senador,2006,2014
912,diputado,2002,2006
912,diputado,1998,2002
912,diputado,1994,1998
912,diputado,1990,1994
1119,senador,2014,2022
1119,diputado,2010,2014
1119,diputado,2006,2010
1119,diputado,2002,2006
1119,diputado,1998,2002
1119,diputado,1994,1998
1119,diputado,1990,1994
1117,senador,2014,2022
1117,diputado,2010,2014
1117,diputado,2006,2010
1117,diputado,2002,2006
1118,senador,2014,2022
1118,diputado,2010,2014
1118,diputado,2006,2010
1118,diputado,2002,2006
915,senador,2014,2022
915,senador,2006,2014
915,diputado,2002,2006
915,diputado,1998,2002
915,diputado,1994,1998
1224,senador,2018,2026
1120,senador,2014,2022
916,senador,2014,2022
916,senador,2006,2014
916,diputado,2002,2006
916,diputado,1998,2002
916,diputado,1994,1998
916,diputado,1990,1994
163,senador,2014,2022
163,senador,2006,2014
163,senador,1998,2006
163,diputado,1994,1998
163,diputado,1990,1994
1214,senador,2018,2026
1215,senador,2018,2026
1215,diputado,2014,2018
1217,senador,2018,2026
1008,senador,2018,2026
1008,senador,2010,2018
1008,diputado,2006,2010
1008,diputado,2002,2006
1116,senador,2014,2022
1009,senador,2018,2026
1009,senador,2014,2014
1009,senador,2010,2014
1225,senador,2018,2026
1225,diputado,2014,2018
1225,diputado,2010,2014
1213,senador,2018,2026
1112,senador,2014,2022
1067,senador,2014,2022
1067,senador,2011,2014
150,senador,1998,2006
29,senador,1990,1998
906,senador,2006,2014
685,senador,2002,2010
686,senador,2002,2010
686,diputado,1998,2002
686,diputado,1994,1998
30,senador,1994,2002
38,senador,1998,2006
1,senador,1998,2006
1,diputado,1994,1998
1,diputado,1990,1994
225,senador,1990,1998
152,senador,1998,2006
8,senador,2006,2014
8,senador,1998,2006
8,diputado,1994,1998
8,diputado,1990,1994
27,senador,1990,1998
154,senador,1998,2006
126,senador,1994,1998
131,senador,2006,2011
131,senador,1998,2006
131,diputado,1994,1998
131,diputado,1990,1994
135,senador,1990,1998
155,senador,1998,2006
198,senador,1990,1998
57,senador,1994,2002
57,senador,1990,1994
72,senador,1994,2002
908,senador,2006,2014
908,diputado,2002,2006
908,diputado,1994,1998
908,diputado,1990,1994
688,senador,2010,2018
688,senador,2002,2010
688,diputado,1998,2002
688,diputado,1994,1998
688,diputado,1990,1994
40,senador,1990,1998
33,senador,1998,2006
33,senador,1990,1998
689,senador,2002,2010
73,senador,1998,2006
76,senador,1990,1998
5,senador,1998,2006
5,senador,1990,1998
230,senador,2006,2014
230,senador,2000,2006
230,senador,1990,1994
59,senador,2002,2010
59,senador,1994,2002
59,senador,1990,1994
910,senador,2006,2014
276,senador,1990,1994
279,senador,1990,1994
35,senador,1994,2002
224,senador,1990,1998
58,senador,2010,2018
58,senador,2002,2010
58,senador,1994,2002
58,diputado,1990,1994
227,senador,1990,1998
647,senador,1990,1994
46,senador,2006,2014
46,diputado,2018,2022
46,diputado,2002,2006
46,diputado,1998,2002
46,diputado,1994,1998
46,diputado,1990,1994
74,senador,1994,2002
74,senador,1990,1994
34,senador,2010,2018
34,senador,2002,2010
34,senador,1994,2002
1063,senador,2011,2014
228,senador,1990,1998
69,senador,2002,2005
69,senador,1994,2002
69,senador,1990,1994
28,senador,1990,1998
913,senador,2006,2011
913,diputado,2002,2006
913,diputado,1998,2002
913,diputado,1994,1998
913,diputado,1990,1994
282,senador,1990,1998
68,senador,1998,2006
1306,senador,2014,2018
1306,senador,1994,2002
1306,diputado,2018,2022
96,senador,2006,2011
96,senador,1998,2006
96,diputado,1994,1998
96,diputado,1990,1994
3,senador,1990,1998
157,senador,1998,2006
914,senador,2006,2014
914,diputado,2002,2006
914,diputado,1998,2002
914,diputado,1994,1998
61,senador,2002,2010
61,senador,1994,2002
61,diputado,1990,1994
691,senador,2002,2010
691,diputado,1998,2002
691,diputado,1994,1998
691,diputado,1990,1994
143,senador,1990,1994
63,senador,2006,2014
63,senador,1998,2006
24,senador,2002,2010
24,senador,1994,2002
24,senador,1990,1994
66,senador,2002,2010
66,senador,1994,2002
692,senador,2010,2018
692,senador,2002,2010
692,diputado,1998,2002
692,diputado,1994,1998
692,diputado,1990,1994
56,senador,1990,1994
32,senador,1990,1998
229,senador,1990,1994
147,senador,1998,2006
147,senador,1990,1998
275,senador,1990,1994
136,senador,1990,1994
159,senador,1998,2006
1007,senador,2010,2018
1007,diputado,2006,2010
1007,diputado,2002,2006
161,senador,1994,2002
161,senador,1990,1994
162,senador,1998,2002
127,senador,1990,1998
36,senador,1994,2002
36,senador,1990,1994
693,senador,2010,2018
693,senador,2002,2010
693,diputado,1998,2002
693,diputado,1994,1998
693,diputado,1990,1994
26,senador,1998,2006
26,senador,1990,1998
31,senador,2002,2010
31,senador,1994,2002
31,senador,1990,1994
1010,senador,2010,2018
1010,diputado,2006,2010
1010,diputado,2002,2006
281,senador,1990,1994
37,senador,1998,2006
37,senador,1990,1998
64,senador,2006,2014
64,senador,1998,2006
64,senador,1990,1998
120,senador,2006,2014
120,senador,1998,2006
120,diputado,1994,1998
120,diputado,1990,1994
206,senador,1990,1998
164,senador,1998,2006
280,senador,1990,1998
218,senador,1990,1994
218,diputado,2006,2010
218,diputado,2002,2006
165,senador,1998,2006
39,senador,1990,1998
65,senador,1990,1998
1011,senador,2010,2018
1011,diputado,2006,2010
1011,diputado,2002,2006
166,senador,1994,2002
166,senador,1990,1994
1064,senador,2011,2014
1064,diputado,2010,2011
1064,diputado,2006,2010
1064,diputado,2002,2006
25,senador,1998,2006
25,senador,1990,1998
865,senador,2005,2010
167,senador,1998,2006
148,senador,1998,2006
148,diputado,1994,1998
148,diputado,1990,1994
231,senador,1990,1994
1013,senador,2010,2018
1013,diputado,1998,2004
1013,diputado,1994,1998
1012,senador,2010,2018
1012,diputado,2006,2010
1012,diputado,2002,2006
41,senador,2002,2010
41,senador,1994,2002
60,senador,2010,2018
60,senador,1998,2006
60,senador,1990,1998
168,senador,1998,2006
